epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.715,1.6902,3.70257,1.57836,0.92425,0.60551,0.78041,0.36121,1.52773,2.91966,1.21119,0.00325581,0.00325581,0.00325581
2,34.8082,1.45241,1.67034,1.32009,0.91421,0.76675,0.87834,0.49546,1.41157,2.22691,1.17951,0.0065761,0.0065761,0.0065761
3,51.8778,1.47365,1.39252,1.36859,0.79528,0.80893,0.83117,0.44864,1.45716,1.37903,1.35888,0.00988319,0.00988319,0.00988319
4,68.7132,1.46056,1.17725,1.38685,0.60036,0.52357,0.5409,0.278,1.77977,1.84664,1.64786,0.0099406,0.0099406,0.0099406
5,85.6461,1.45895,1.04813,1.43265,0.45077,0.29734,0.26772,0.12122,1.96254,3.78844,1.90778,0.0099208,0.0099208,0.0099208
6,102.546,1.44977,0.95399,1.44644,0.84007,0.67494,0.76257,0.40584,1.73833,2.18396,1.92821,0.009901,0.009901,0.009901
7,119.46,1.46065,0.94595,1.48381,0.66378,0.65012,0.71086,0.33248,1.96767,2.70173,2.34436,0.0098812,0.0098812,0.0098812
8,136.319,1.41897,0.8524,1.4939,0.90971,0.85002,0.88886,0.45976,1.77226,1.18796,1.81368,0.0098614,0.0098614,0.0098614
9,153.229,1.43066,0.831,1.47418,0.84945,0.79901,0.81841,0.42018,1.63097,1.06589,1.55076,0.0098416,0.0098416,0.0098416
10,170.076,1.42726,0.79989,1.48274,0.89323,0.85116,0.8884,0.4636,1.50856,1.00729,1.58169,0.0098218,0.0098218,0.0098218
11,186.965,1.43304,0.81179,1.49755,0.88722,0.91752,0.92319,0.51297,1.66576,0.90475,2.03887,0.009802,0.009802,0.009802
12,203.874,1.40162,0.75516,1.49605,0.85858,0.85856,0.89793,0.51792,1.47957,1.5682,1.56822,0.0097822,0.0097822,0.0097822
13,220.786,1.39488,0.74304,1.50825,0.90417,0.81939,0.89777,0.4876,1.67184,0.8554,1.87328,0.0097624,0.0097624,0.0097624
14,237.595,1.42309,0.7682,1.48618,0.83495,0.80337,0.86025,0.47867,1.68283,1.09348,1.83492,0.0097426,0.0097426,0.0097426
15,254.396,1.40375,0.74881,1.4953,0.6796,0.69231,0.66538,0.35609,1.75293,1.56545,2.0519,0.0097228,0.0097228,0.0097228
16,271.179,1.37936,0.7511,1.48072,0.86832,0.72208,0.81153,0.3586,1.94833,1.17478,2.25269,0.009703,0.009703,0.009703
17,288.064,1.40946,0.73341,1.50832,0.95045,0.87841,0.93759,0.5079,1.71073,0.78854,1.79701,0.0096832,0.0096832,0.0096832
18,304.682,1.39969,0.72566,1.47663,0.87979,0.88586,0.92745,0.52295,1.61213,1.135,1.82399,0.0096634,0.0096634,0.0096634
19,321.235,1.39792,0.72224,1.49064,0.87036,0.93289,0.94925,0.49771,1.71679,0.77666,1.90007,0.0096436,0.0096436,0.0096436
20,337.317,1.36744,0.69411,1.46782,0.937,0.90323,0.94256,0.50446,1.57026,0.97731,1.79045,0.0096238,0.0096238,0.0096238
21,353.308,1.36378,0.69863,1.46308,0.92487,0.81886,0.8812,0.48689,1.58515,1.11816,1.86723,0.009604,0.009604,0.009604
22,369.56,1.34715,0.67514,1.46507,0.8981,0.87481,0.90596,0.48692,1.65225,0.86541,1.94771,0.0095842,0.0095842,0.0095842
23,385.68,1.36325,0.6748,1.47631,0.93503,0.92843,0.96248,0.54394,1.64163,0.79418,1.89477,0.0095644,0.0095644,0.0095644
24,401.655,1.3727,0.67382,1.46965,0.96394,0.92556,0.96202,0.55613,1.54775,0.72206,1.69888,0.0095446,0.0095446,0.0095446
25,417.639,1.32411,0.66617,1.44352,0.93914,0.95732,0.96944,0.54672,1.57704,0.71276,1.70877,0.0095248,0.0095248,0.0095248
26,433.546,1.32765,0.65419,1.44067,0.9268,0.9206,0.95429,0.5347,1.65785,0.78244,1.86305,0.009505,0.009505,0.009505
27,449.621,1.34622,0.65243,1.46527,0.94397,0.91978,0.95119,0.54114,1.61698,0.75064,1.79245,0.0094852,0.0094852,0.0094852
28,466.16,1.33061,0.63799,1.45303,0.92681,0.91563,0.9474,0.53143,1.67776,0.70958,1.78204,0.0094654,0.0094654,0.0094654
29,483.013,1.31723,0.64306,1.44586,0.95869,0.92804,0.96795,0.552,1.65017,0.69814,1.96384,0.0094456,0.0094456,0.0094456
30,499.861,1.32671,0.64163,1.44266,0.89084,0.81886,0.86938,0.41291,1.98131,0.98687,2.26931,0.0094258,0.0094258,0.0094258
31,516.689,1.31845,0.64107,1.44212,0.91788,0.94296,0.95869,0.52517,1.76104,0.71286,2.11129,0.009406,0.009406,0.009406
32,533.526,1.33598,0.64193,1.47286,0.92972,0.95037,0.95358,0.52818,1.70782,0.7148,1.96312,0.0093862,0.0093862,0.0093862
33,550.397,1.31589,0.63682,1.44064,0.9372,0.95285,0.96928,0.55861,1.53563,0.69202,1.64692,0.0093664,0.0093664,0.0093664
34,567.281,1.32015,0.64439,1.44858,0.94023,0.93676,0.96885,0.58735,1.48115,0.70466,1.58788,0.0093466,0.0093466,0.0093466
35,584.197,1.33125,0.63619,1.44814,0.94363,0.9553,0.97158,0.55737,1.65263,0.60582,1.92043,0.0093268,0.0093268,0.0093268
36,601.034,1.2821,0.60825,1.41944,0.92881,0.87416,0.9378,0.50572,1.79159,0.78933,2.16406,0.009307,0.009307,0.009307
37,617.955,1.30509,0.62657,1.43753,0.92421,0.92556,0.94099,0.51988,1.75049,0.70838,2.07554,0.0092872,0.0092872,0.0092872
38,634.838,1.29614,0.61393,1.42504,0.92179,0.94541,0.95695,0.54323,1.63677,0.68666,1.84955,0.0092674,0.0092674,0.0092674
39,651.755,1.29321,0.61226,1.44728,0.75536,0.58313,0.63383,0.30322,1.96346,1.89838,2.29813,0.0092476,0.0092476,0.0092476
40,668.62,1.27593,0.60643,1.44003,0.92906,0.94242,0.95812,0.54963,1.70583,0.6643,2.05455,0.0092278,0.0092278,0.0092278
41,685.538,1.29322,0.61015,1.43102,0.93598,0.90689,0.95309,0.56422,1.66043,0.65652,1.95444,0.009208,0.009208,0.009208
42,702.422,1.30564,0.61399,1.42923,0.94537,0.9206,0.9489,0.5471,1.51113,0.7384,1.60308,0.0091882,0.0091882,0.0091882
43,719.355,1.2761,0.60106,1.4293,0.94715,0.93381,0.96707,0.56797,1.58369,0.64111,1.79479,0.0091684,0.0091684,0.0091684
44,736.191,1.28658,0.59809,1.44049,0.96332,0.91232,0.95875,0.54123,1.57262,0.92926,1.83761,0.0091486,0.0091486,0.0091486
45,753.052,1.2875,0.60594,1.42155,0.94157,0.91067,0.95258,0.54031,1.72251,0.65772,2.08407,0.0091288,0.0091288,0.0091288
46,769.918,1.27807,0.59556,1.42817,0.95951,0.93548,0.97103,0.56946,1.64081,0.65968,1.8814,0.009109,0.009109,0.009109
47,786.721,1.28033,0.59099,1.42425,0.9512,0.91889,0.96455,0.53067,1.67475,0.65268,1.97797,0.0090892,0.0090892,0.0090892
48,803.545,1.27494,0.59232,1.42042,0.92734,0.97022,0.98038,0.5679,1.6846,0.62931,1.88612,0.0090694,0.0090694,0.0090694
49,820.402,1.2525,0.58142,1.41005,0.94654,0.94293,0.9698,0.55995,1.66742,0.6486,2.00923,0.0090496,0.0090496,0.0090496
50,837.2,1.26108,0.58631,1.41788,0.94397,0.94293,0.96924,0.566,1.4627,0.64176,1.72001,0.0090298,0.0090298,0.0090298
51,854.037,1.24916,0.5765,1.44202,0.95655,0.92864,0.97035,0.54706,1.59269,0.6199,1.8581,0.00901,0.00901,0.00901
52,870.844,1.25955,0.56528,1.44172,0.95332,0.94541,0.9728,0.55874,1.67163,0.6272,2.00922,0.0089902,0.0089902,0.0089902
53,887.686,1.25122,0.57067,1.41376,0.96135,0.93052,0.97596,0.5701,1.67021,0.61465,1.96156,0.0089704,0.0089704,0.0089704
54,904.485,1.23661,0.57042,1.4185,0.94941,0.92308,0.95861,0.52331,1.79687,0.66275,2.19733,0.0089506,0.0089506,0.0089506
55,921.334,1.23469,0.56626,1.40879,0.9567,0.95782,0.97578,0.55743,1.55861,0.68924,1.67738,0.0089308,0.0089308,0.0089308
56,938.176,1.23881,0.56793,1.39137,0.94457,0.96278,0.97071,0.57088,1.68429,0.63924,1.96221,0.008911,0.008911,0.008911
57,955.034,1.23915,0.56074,1.41387,0.96348,0.95285,0.98261,0.60919,1.62089,0.60986,1.90688,0.0088912,0.0088912,0.0088912
58,971.939,1.24127,0.58037,1.39822,0.93732,0.93797,0.97323,0.5562,1.69053,0.67797,2.04972,0.0088714,0.0088714,0.0088714
59,988.841,1.21558,0.56272,1.39327,0.94259,0.937,0.96562,0.54499,1.56196,0.7001,1.81963,0.0088516,0.0088516,0.0088516
