epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1822,1.58084,4.75905,1.37408,0.02227,0.02749,0.02066,0.01392,1.25161,4.43351,1.09934,0.00327684,0.00327684,0.00327684
2,61.5987,1.39695,2.4462,1.27011,0.76433,0.0963,0.11524,0.06783,1.43617,2.88706,1.39823,0.00659708,0.00659708,0.00659708
3,91.215,1.39177,1.73193,1.27907,0.80224,0.16784,0.17822,0.10729,1.40599,1.3784,1.39804,0.00990413,0.00990413,0.00990413
4,120.66,1.39908,1.43038,1.29021,0.6175,0.194,0.19656,0.11299,1.46237,1.47028,1.47175,0.0099406,0.0099406,0.0099406
5,150.082,1.37744,1.27472,1.28507,0.429,0.32513,0.27805,0.1788,1.33762,1.07277,1.35202,0.0099208,0.0099208,0.0099208
6,179.394,1.36632,1.19899,1.27966,0.5897,0.33635,0.32546,0.2121,1.31213,0.94541,1.31774,0.009901,0.009901,0.009901
7,208.892,1.34726,1.12479,1.27356,0.43531,0.43566,0.38433,0.2515,1.3648,0.98826,1.37615,0.0098812,0.0098812,0.0098812
8,238.339,1.34125,1.06185,1.26932,0.51449,0.52484,0.47333,0.31512,1.31076,0.86827,1.30855,0.0098614,0.0098614,0.0098614
9,267.691,1.32053,1.02987,1.25997,0.48239,0.5501,0.51178,0.34839,1.30248,0.79542,1.30988,0.0098416,0.0098416,0.0098416
10,297.114,1.31771,0.99081,1.25962,0.59529,0.4994,0.57585,0.3875,1.32102,0.78623,1.29662,0.0098218,0.0098218,0.0098218
11,326.615,1.32262,0.96043,1.26999,0.60611,0.68954,0.68326,0.46925,1.30691,0.74193,1.31353,0.009802,0.009802,0.009802
12,355.832,1.30585,0.94305,1.2569,0.68503,0.60722,0.7079,0.48029,1.28732,0.73875,1.29517,0.0097822,0.0097822,0.0097822
13,385.028,1.30368,0.92067,1.25995,0.72444,0.67223,0.73801,0.50923,1.30678,0.71173,1.31136,0.0097624,0.0097624,0.0097624
