epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6627,1.69211,5.06666,1.46825,0.02124,0.0311,0.01688,0.0114,1.27686,4.48125,1.15125,0.00327684,0.00327684,0.00327684
2,52.9874,1.41534,2.82456,1.3326,0.6897,0.06575,0.09453,0.05611,1.37904,2.54888,1.44432,0.00659708,0.00659708,0.00659708
3,79.6526,1.41646,1.91755,1.33712,0.76864,0.1384,0.15066,0.08803,1.43015,1.42567,1.46201,0.00990413,0.00990413,0.00990413
4,106.08,1.42531,1.54393,1.33405,0.62021,0.20136,0.16935,0.09205,1.56069,1.53605,1.5881,0.0099406,0.0099406,0.0099406
5,132.393,1.39785,1.3716,1.3193,0.67035,0.21261,0.22529,0.13254,1.41502,1.12868,1.45551,0.0099208,0.0099208,0.0099208
6,158.979,1.38479,1.27037,1.31094,0.68468,0.26343,0.28144,0.17774,1.33782,1.01737,1.42076,0.009901,0.009901,0.009901
7,185.539,1.36855,1.19077,1.29771,0.59956,0.2785,0.28811,0.17708,1.36222,1.10541,1.41217,0.0098812,0.0098812,0.0098812
8,211.757,1.35949,1.13646,1.29728,0.55448,0.39757,0.3659,0.22597,1.37926,0.94018,1.41689,0.0098614,0.0098614,0.0098614
9,238.303,1.33586,1.10123,1.28746,0.71754,0.33661,0.39711,0.25613,1.32551,0.8788,1.37354,0.0098416,0.0098416,0.0098416
10,264.457,1.33242,1.05489,1.28882,0.5517,0.38046,0.38558,0.24762,1.35652,0.98546,1.4041,0.0098218,0.0098218,0.0098218
11,290.754,1.33456,1.02926,1.30246,0.46857,0.52477,0.48642,0.31991,1.33168,0.81193,1.37742,0.009802,0.009802,0.009802
12,316.914,1.31716,1.00017,1.28994,0.673,0.45823,0.54307,0.36449,1.3145,0.81087,1.37579,0.0097822,0.0097822,0.0097822
13,343.234,1.31606,0.97565,1.29262,0.58591,0.55521,0.56871,0.38395,1.31197,0.74968,1.37132,0.0097624,0.0097624,0.0097624
14,369.816,1.31424,0.94126,1.28276,0.56312,0.60918,0.63336,0.42296,1.3565,0.77616,1.38348,0.0097426,0.0097426,0.0097426
15,396.409,1.31503,0.94389,1.29916,0.56742,0.66692,0.6816,0.46521,1.29856,0.70404,1.34692,0.0097228,0.0097228,0.0097228
16,422.652,1.30485,0.91411,1.27637,0.57457,0.64883,0.68369,0.4675,1.3043,0.74045,1.36899,0.009703,0.009703,0.009703
17,449.234,1.30153,0.88912,1.28384,0.70093,0.68219,0.77033,0.53392,1.29246,0.69625,1.35072,0.0096832,0.0096832,0.0096832
18,475.52,1.30519,0.86999,1.28366,0.68243,0.70504,0.75432,0.51721,1.31038,0.67968,1.35749,0.0096634,0.0096634,0.0096634
19,501.973,1.29656,0.86163,1.27982,0.67787,0.75308,0.7901,0.54239,1.30573,0.67015,1.36016,0.0096436,0.0096436,0.0096436
20,528.297,1.29404,0.85085,1.2744,0.59144,0.68954,0.72794,0.49882,1.30647,0.76756,1.35853,0.0096238,0.0096238,0.0096238
21,554.779,1.2899,0.83128,1.27496,0.74596,0.71462,0.80025,0.55237,1.31993,0.70363,1.37547,0.009604,0.009604,0.009604
22,581.111,1.2805,0.82074,1.27053,0.8088,0.77195,0.86678,0.60801,1.28959,0.63781,1.33791,0.0095842,0.0095842,0.0095842
23,607.673,1.28571,0.81724,1.28395,0.73511,0.78838,0.83584,0.58122,1.29522,0.63513,1.34974,0.0095644,0.0095644,0.0095644
24,634.205,1.27391,0.79741,1.26644,0.7005,0.76943,0.82541,0.57728,1.3031,0.67703,1.35599,0.0095446,0.0095446,0.0095446
25,660.73,1.27189,0.78487,1.27713,0.83714,0.80498,0.89288,0.62917,1.29648,0.59854,1.35252,0.0095248,0.0095248,0.0095248
26,687.055,1.27103,0.77277,1.26005,0.76357,0.80759,0.86649,0.60391,1.27584,0.60498,1.34362,0.009505,0.009505,0.009505
27,713.569,1.27271,0.77402,1.26739,0.80409,0.85258,0.91155,0.63908,1.27433,0.58823,1.33545,0.0094852,0.0094852,0.0094852
28,739.886,1.26406,0.75796,1.27229,0.8508,0.85785,0.92097,0.64728,1.27297,0.57342,1.34128,0.0094654,0.0094654,0.0094654
29,766.458,1.26718,0.75661,1.27685,0.81892,0.85886,0.91551,0.64591,1.26553,0.57647,1.33346,0.0094456,0.0094456,0.0094456
30,792.645,1.26639,0.75551,1.26622,0.85135,0.82348,0.9016,0.62906,1.28733,0.59857,1.3478,0.0094258,0.0094258,0.0094258
31,819.167,1.25128,0.7401,1.2597,0.82813,0.85129,0.90608,0.63333,1.29129,0.59831,1.3458,0.009406,0.009406,0.009406
32,845.395,1.26072,0.72842,1.26523,0.86772,0.84983,0.91738,0.64795,1.30573,0.60213,1.35424,0.0093862,0.0093862,0.0093862
33,871.979,1.25274,0.72482,1.258,0.88545,0.85382,0.92561,0.65479,1.2732,0.56863,1.34083,0.0093664,0.0093664,0.0093664
34,898.292,1.23977,0.71352,1.25896,0.8454,0.84943,0.90724,0.63767,1.29489,0.57021,1.35381,0.0093466,0.0093466,0.0093466
35,924.844,1.24006,0.70246,1.25396,0.90703,0.86132,0.93241,0.66014,1.27618,0.56366,1.33464,0.0093268,0.0093268,0.0093268
